,td-hm_ViTPose-base_3xb128-210e-f0_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f1_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f2_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f3_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f4_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f5_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f6_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f7_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f8_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f9_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f10_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f11_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f12_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f0_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f1_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f2_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f3_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f4_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f5_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f6_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f7_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f8_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f9_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f10_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f11_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f12_gm-256x192
@0.1/Ank PCK,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997025933856769,0.9997620747085415,0.9997025933856769,0.9997025933856769,0.9996431120628123,0.9993457054484892,0.9997025933856769,0.9997025933856769,0.9997620747085415,0.9997620747085415,0.9996431120628123,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997025933856769,0.9996431120628123,0.9994646680942184,0.9856650011896264
@0.1/Foot PCK,0.9992862241256246,0.9986914108969784,0.9991672614798953,0.9988103735427076,0.9991672614798953,0.9985724482512491,0.9986914108969784,0.9988103735427076,0.9988103735427076,0.9985724482512491,0.9979776350226028,0.9971448965024983,0.991077801570307,0.9990482988341661,0.9989293361884368,0.9991672614798953,0.9989293361884368,0.9978586723768736,0.9985724482512491,0.9990482988341661,0.9986914108969784,0.9988103735427076,0.9979776350226028,0.997501784439686,0.9953604568165596,0.8924577682607662
@0.1/PCK,0.9913034203811727,0.9924438209160946,0.9919597660127822,0.9920500135371286,0.9923699820325385,0.9929935103825674,0.991935153051597,0.9920336048963384,0.9914018722259141,0.9900645680015097,0.9902532673705975,0.9903106976133633,0.988595994650783,0.9911311296528753,0.9923699820325385,0.9917546580029044,0.9925586814016261,0.9927884023726896,0.9929935103825674,0.9921976913042406,0.9929032628582213,0.9922305085858213,0.9903271062541532,0.9920828308187091,0.9906552790699582,0.948558911122597
@0.1/Head PCKh,0.5101118248869855,0.5105876754699025,0.5165358077563645,0.5074946466809421,0.5367594575303355,0.4989293361884368,0.49369497977635024,0.5070187960980252,0.48655722103259574,0.4991672614798953,0.47061622650487744,0.48394004282655245,0.5434213656911729,0.502974066143231,0.5248631929574114,0.516297882464906,0.515822031881989,0.4986914108969783,0.5115393766357363,0.4853675945753034,0.5072567213894837,0.5079704972638591,0.49988103735427075,0.4991672614798953,0.5008327385201047,0.3970973114442065
@0.1/Eye PCKh,0.9986914108969784,0.9985724482512491,0.9985724482512491,0.9986914108969784,0.9986914108969784,0.9984534856055198,0.9985724482512491,0.9985724482512491,0.9985724482512491,0.9984534856055198,0.9977397097311445,0.9961931953366643,0.9948846062336427,0.9985724482512491,0.9980965976683321,0.9982155603140614,0.9986914108969784,0.9970259338567691,0.9982155603140614,0.9986914108969784,0.9984534856055198,0.9982155603140614,0.9980965976683321,0.9972638591482275,0.9911967642160362,0.48596240780394956
@0.1/Neck PCKh,0.788722341184868,0.7865810135617416,0.7830121341898644,0.7744468236973591,0.7687366167023555,0.7903878182250773,0.7687366167023555,0.7884844158934095,0.7906257435165358,0.7899119676421603,0.7934808470140375,0.8101356174161314,0.8022840827980015,0.7827742088984059,0.7915774446823698,0.781822507732572,0.7787294789436117,0.8056150368784202,0.7956221746371639,0.7687366167023555,0.7832500594813229,0.7930049964311207,0.7930049964311207,0.7994289793004996,0.8501070663811563,0.5748275041636925
@0.1/Sho PCKh,0.7058053771115869,0.7153223887699263,0.7165120152272186,0.7262669521770164,0.7374494408755651,0.7193671187247204,0.7336426362122294,0.7134189864382583,0.7397097311444207,0.7279324292172258,0.7246014751368071,0.6965262907447062,0.7257911015940994,0.7122293599809659,0.6965262907447062,0.7180585296216988,0.7229359980965977,0.684035212943136,0.7027123483226267,0.7267428027599334,0.698905543659291,0.7061622650487747,0.7273376159885796,0.7235308113252439,0.7102069950035689,0.354389721627409
@0.1/Elb PCKh,0.6732690935046395,0.6881394242207948,0.7214489650249821,0.6258029978586723,0.6704139900071378,0.7051510825600762,0.682131810611468,0.6525695931477516,0.6456697596954557,0.6503687842017607,0.645134427789674,0.6682131810611469,0.6272305496074233,0.622115155841066,0.6601237211515584,0.648584344515822,0.643587913395194,0.6682131810611468,0.6525101118248869,0.6519747799191054,0.6583987627884844,0.6661908160837497,0.6218177492267428,0.6715441351415655,0.6252081846300261,0.3210206995003569
@0.1/Wri PCKh,0.6955151082560076,0.7639781108731858,0.7712943135855341,0.5772067570782774,0.6830240304544373,0.7589221984296931,0.7152629074470617,0.6817154413514157,0.6488817511301452,0.6263383297644539,0.6014751368070426,0.7135379490839876,0.7099690697121104,0.6375208184630027,0.6768974541993813,0.6625029740661432,0.6840946942660004,0.7564834641922435,0.6945634070901736,0.733702117535094,0.7062217463716393,0.6946228884130383,0.6758267903878182,0.7103259576492982,0.7004520580537711,0.36622650487746844
@0.1/Hand PCKh,0.8600999286224125,0.8515346181299073,0.8599809659766833,0.8659290982631453,0.8442778967404235,0.8570068998334524,0.8589103021651201,0.8587913395193909,0.8581965262907447,0.8490364025695931,0.8452295979062574,0.8269093504639543,0.7817035450868428,0.8649773970973114,0.8799666904591958,0.8705686414465859,0.8744944087556508,0.8520104687128242,0.8629550321199143,0.8627171068284558,0.8394004282655245,0.8478467761123007,0.8479657387580299,0.8325005948132287,0.778372591006424,0.07542231739233882
